EmpID,BiasInfluentialFactor,FitmentPercent
22861,CurrentCompanyType,55.11628
10897,YearsOfExperince,93.63579
13475,LatestDegreeCGPA,59.097595
23461,EmpScore,89.5589
19877,Gender,81.71138
10949,CurrentCompanyType,43.927353
13759,Gender,81.60972
9443,YearsOfExperince,81.63161
5606,EmpScore,90.881836
21658,Gender,71.17462
9731,CurrentCompanyType,55.28817
16330,YearsOfExperince,80.771545
18456,Ethinicity,82.17303
22486,Gender,83.02521
4900,Gender,75.58662
12433,Gender,78.415924
10757,DegreeBranch,81.505714
20969,CurrentCompanyType,90.54666
4565,CurrentCompanyType,62.06933
16117,EmpScore,82.891685
22266,Gender,84.943535
23691,DegreeBranch,78.99496
14468,Gender,82.40751
9433,DegreeBranch,91.99605
2730,EmpScore,86.54797
13205,YearsOfExperince,82.18381
5829,CurrentCompanyType,56.951164
2418,Gender,80.01817
2634,DegreeBranch,77.25698
2693,Gender,80.784744
22436,Gender,82.52569
8840,Gender,76.575035
4130,YearsOfExperince,76.06161
13577,YearsOfExperince,78.327194
16463,Gender,75.7436
15922,MartialStatus,79.21543
16368,CurrentCompanyType,48.08313
18819,DegreeBranch,79.109184
14057,EmpScore,81.95749
12793,DegreeBranch,88.9829
12592,YearsOfExperince,79.59668
18919,Gender,81.238174
20836,DegreeBranch,91.31396
16849,Ethinicity,78.08104
17458,CurrentCompanyType,65.7072
3924,DegreeBranch,89.31028
9026,EmpScore,77.10404
6304,YearsOfExperince,79.056
12307,YearsOfExperince,84.40708
17526,CurrentCompanyType,45.508167
11500,CurrentCompanyType,52.535164
11333,DegreeBranch,80.61685
12156,DegreeBranch,89.912674
11591,YearsOfExperince,77.23569
16930,CurrentCompanyType,49.330894
18677,DegreeBranch,79.75629
14424,DegreeBranch,83.26596
24095,EmpScore,54.218895
21803,MartialStatus,81.69755
24365,LatestDegreeCGPA,54.137913
21897,Ethinicity,86.76725
12218,CurrentCompanyType,52.82723
6426,Ethinicity,81.25324
18233,Gender,86.508835
16313,Gender,81.2182
19552,YearsOfExperince,86.91538
3394,CurrentCompanyType,57.153847
21300,YearsOfExperince,80.698006
19989,DegreeBranch,81.436905
18968,Gender,76.816635
17609,Gender,78.123245
6393,CurrentCompanyType,52.471836
18566,LatestDegreeCGPA,57.295025
18652,Gender,76.996864
6284,EmpScore,91.25161
10974,Gender,80.9716
9330,DegreeBranch,72.85358
20382,DegreeBranch,88.66772
14652,CurrentCompanyType,57.18476
15787,Gender,77.35824
19436,CurrentCompanyType,52.973175
7393,MartialStatus,79.718544
9058,DegreeBranch,90.0332
11633,CurrentCompanyType,53.101257
13719,Ethinicity,71.79815
11529,YearsOfExperince,82.08255
10025,YearsOfExperince,50.311333
14861,YearsOfExperince,79.26828
9580,Gender,87.50251
14427,CurrentCompanyType,53.266296
20740,HighestDegree,76.78766
18768,DegreeBranch,78.7233
20259,Gender,87.42474
18190,HighestDegree,81.4139
11050,DegreeBranch,90.631355
21005,Gender,77.401726
17701,Ethinicity,83.534065
10792,DegreeBranch,80.66153
2785,CurrentCompanyType,56.631107
15529,HighestDegree,86.925674
21480,MartialStatus,84.01955
6154,YearsOfExperince,73.29269
5826,HighestDegree,93.45429
11819,DegreeBranch,79.28608
21236,EmpScore,85.1582
8350,CurrentCompanyType,51.44378
15823,Gender,80.12956
9144,Gender,77.0251
13558,YearsOfExperince,86.12616
16434,Gender,78.5428
21895,CurrentCompanyType,48.991673
22161,CurrentCompanyType,51.924633
12676,CurrentCompanyType,53.76424
8441,CurrentCompanyType,60.82789
19130,CurrentCompanyType,53.304047
23954,DegreeBranch,49.8571
23367,Gender,78.122246
20027,Gender,73.42684
3999,CurrentCompanyType,53.045765
22447,YearsOfExperince,81.22575
11876,Ethinicity,78.01919
15118,CurrentCompanyType,48.45529
11302,YearsOfExperince,85.203415
13884,CurrentCompanyType,69.74261
22852,Gender,76.2537
3287,DegreeBranch,92.901566
5784,YearsOfExperince,80.87317
24277,DegreeBranch,79.27788
13926,Gender,79.80077
2852,DegreeBranch,82.92389
5124,CurrentCompanyType,56.993076
22611,CurrentCompanyType,54.173264
14877,Ethinicity,80.811165
20937,DegreeBranch,48.420254
16154,Gender,80.40416
20388,YearsOfExperince,84.5244
22392,DegreeBranch,90.290405
4555,DegreeBranch,41.591415
17815,DegreeBranch,43.553772
20186,DegreeBranch,79.029816
23435,Gender,77.19222
16770,DegreeBranch,81.056526
8341,LatestDegreeCGPA,51.52359
13552,DegreeBranch,81.97769
3915,DegreeBranch,81.75055
23201,DegreeBranch,90.48221
7425,EmpScore,90.77786
4966,Gender,76.66125
2772,DegreeBranch,82.825035
22279,DegreeBranch,81.34553
15389,CurrentCompanyType,52.137
10680,CurrentCompanyType,55.45669
7030,MartialStatus,79.492325
10250,CurrentCompanyType,50.54019
19636,CurrentCompanyType,90.669754
15436,YearsOfExperince,88.833145
8730,DegreeBranch,90.90763
21298,EmpScore,88.60336
8517,CurrentCompanyType,49.957005
10527,CurrentCompanyType,52.341354
21230,Gender,76.00807
18809,DegreeBranch,78.03324
3934,YearsOfExperince,71.09062
10115,YearsOfExperince,86.60202
19773,YearsOfExperince,74.221
16014,EmpScore,90.90176
7312,EmpScore,88.11037
14091,Gender,76.22309
8717,CurrentCompanyType,60.272827
8953,DegreeBranch,90.82793
17773,MartialStatus,81.83076
2872,MartialStatus,81.375656
21162,Gender,81.46976
15809,CurrentCompanyType,56.060436
11754,Gender,82.70074
9338,DegreeBranch,93.05183
11212,YearsOfExperince,89.01608
5007,DegreeBranch,84.56804
5601,CurrentCompanyType,55.444435
17520,DegreeBranch,79.84899
20883,CurrentCompanyType,59.729527
3944,YearsOfExperince,90.27248
6887,EmpScore,82.29604
20677,YearsOfExperince,91.04115
20521,Gender,81.72726
12514,Gender,73.84642
23706,Gender,72.92163
13513,YearsOfExperince,76.507866
18729,YearsOfExperince,81.681656
22103,Gender,80.7765
15153,DegreeBranch,79.30998
10525,Gender,79.04495
8397,DegreeBranch,83.14879
11678,CurrentCompanyType,53.27964
8262,Gender,80.75778
17024,CurrentCompanyType,61.177975
11735,Gender,79.97511
8527,Gender,80.16091
9452,CurrentCompanyType,54.336475
23975,DegreeBranch,87.593834
15880,LatestDegreeCGPA,79.72029
9497,DegreeBranch,82.26993
22405,DegreeBranch,81.9511
17448,LatestDegreeCGPA,55.68269
19791,DegreeBranch,81.69679
4062,LatestDegreeCGPA,57.942715
8915,DegreeBranch,80.70533
14298,HighestDegree,79.38493
12434,Gender,79.35267
12028,HighestDegree,85.8293
17305,DegreeBranch,77.63076
9426,CurrentCompanyType,89.44149
10131,Gender,80.99966
9652,Gender,79.142944
14477,Gender,83.28151
2091,Gender,83.08724
3821,DegreeBranch,75.3522
12396,CurrentCompanyType,52.170177
14241,YearsOfExperince,88.94379
23742,DegreeBranch,80.73857
19466,DegreeBranch,54.175747
5883,MartialStatus,79.47065
24132,DegreeBranch,87.47012
16250,EmpScore,79.75881
16401,CurrentCompanyType,60.92849
4824,YearsOfExperince,80.03162
10957,YearsOfExperince,84.72772
11750,DegreeBranch,80.40182
13935,MartialStatus,81.144325
16029,Gender,78.04781
9295,YearsOfExperince,85.00404
21345,CurrentCompanyType,56.011265
22123,Gender,78.21699
19872,Gender,77.12533
17118,HighestDegree,81.80879
17121,MartialStatus,82.65176
6966,DegreeBranch,90.018326
24062,YearsOfExperince,84.10367
9238,HighestDegree,91.31499
6590,YearsOfExperince,79.61226
4352,CurrentCompanyType,58.403587
8562,YearsOfExperince,89.09302
9557,YearsOfExperince,79.17577
7737,DegreeBranch,70.56489
11090,DegreeBranch,45.88943
2898,LatestDegreeCGPA,52.718384
12094,Ethinicity,78.310326
10557,Gender,80.61623
19360,Gender,84.33667
12173,DegreeBranch,92.220726
18496,EmpScore,94.812904
4044,CurrentCompanyType,67.83718
8828,Gender,79.935
5822,DegreeBranch,81.70211
4800,DegreeBranch,60.86303
19690,EmpScore,83.005974
13470,DegreeBranch,73.07696
17247,DegreeBranch,84.19591
19126,Gender,79.174866
17279,Gender,77.80654
11804,Gender,74.4412
15672,YearsOfExperince,74.771835
6921,YearsOfExperince,88.36489
16364,YearsOfExperince,86.59008
3186,LatestDegreeCGPA,53.48588
20973,LatestDegreeCGPA,54.729458
24245,DegreeBranch,77.7236
23278,DegreeBranch,82.00607
13294,DegreeBranch,89.98763
4768,Gender,81.46762
22217,DegreeBranch,78.88889
12584,Ethinicity,76.258934
8578,Gender,78.55697
10623,DegreeBranch,84.21235
7326,CurrentCompanyType,61.611584
14092,DegreeBranch,86.98504
14482,CurrentCompanyType,52.071457
22022,DegreeBranch,80.8456
23284,DegreeBranch,85.57385
23999,CurrentCompanyType,52.091812
10655,MartialStatus,76.20703
24045,Ethinicity,91.89981
4986,Gender,82.50975
22449,DegreeBranch,93.37343
10719,DegreeBranch,80.05722
14917,Gender,80.35027
18926,DegreeBranch,78.526596
5227,DegreeBranch,85.94297
22606,CurrentCompanyType,91.35022
5037,LatestDegreeCGPA,52.446167
13962,Gender,80.770836
7418,YearsOfExperince,84.046196
12572,EmpScore,91.56429
10207,DegreeBranch,76.89607
20347,YearsOfExperince,76.72679
12982,CurrentCompanyType,75.51943
7210,CurrentCompanyType,62.15223
19779,DegreeBranch,81.71454
16265,YearsOfExperince,77.419655
23858,YearsOfExperince,77.80381
19926,Gender,78.05487
9915,MartialStatus,78.54502
14873,DegreeBranch,82.83889
23033,EmpScore,64.24841
20379,CurrentCompanyType,55.648098
23862,Gender,83.43068
3961,DegreeBranch,87.21899
20156,EmpScore,53.951065
2845,CurrentCompanyType,54.686127
21319,Gender,83.35151
23319,Ethinicity,79.95688
11447,Gender,80.13157
23088,Gender,81.53432
13532,EmpScore,90.946106
22777,Gender,81.392914
3951,DegreeBranch,88.655464
19597,YearsOfExperince,79.28068
21097,HighestDegree,83.67145
7022,Ethinicity,81.37754
4812,EmpScore,57.855453
13103,DegreeBranch,88.34799
17395,DegreeBranch,93.45501
2363,DegreeBranch,90.45345
6311,DegreeBranch,79.76455
16964,DegreeBranch,76.818275
10553,Gender,83.93825
19740,DegreeBranch,78.045265
5133,CurrentCompanyType,61.39969
22171,YearsOfExperince,87.290695
20617,DegreeBranch,80.493774
6662,Gender,79.377686
23903,Gender,78.88849
18027,CurrentCompanyType,53.832287
10298,MartialStatus,79.66603
21972,CurrentCompanyType,56.374943
11690,Gender,77.97245
16309,YearsOfExperince,82.64358
20202,EmpScore,83.939804
22074,DegreeBranch,75.7337
6309,DegreeBranch,79.689186
13662,CurrentCompanyType,53.225227
4078,Gender,78.1875
15188,CurrentCompanyType,53.6339
15476,CurrentCompanyType,41.93673
8200,CurrentCompanyType,43.264034
19412,DegreeBranch,77.84375
14712,HighestDegree,82.82792
3415,LatestDegreeCGPA,62.64572
5453,DegreeBranch,82.373535
15238,Gender,82.710495
19323,HighestDegree,84.87409
23188,DegreeBranch,79.84412
6591,EmpScore,87.294235
12101,DegreeBranch,84.27499
17146,Gender,79.79761
9146,CurrentCompanyType,52.042645
22775,Ethinicity,80.38484
13751,DegreeBranch,79.94982
11226,Gender,76.72181
3850,Gender,84.5896
14997,CurrentCompanyType,52.920246
22434,CurrentCompanyType,54.82626
5269,Gender,80.0693
13380,EmpScore,78.3325
22670,HighestDegree,80.98191
15129,Ethinicity,81.17139
6112,LatestDegreeCGPA,49.417347
19858,MartialStatus,79.89551
3195,DegreeBranch,75.872055
15081,CurrentCompanyType,52.84366
12625,CurrentCompanyType,50.73679
2394,CurrentCompanyType,54.877888
11722,EmpScore,90.87079
10487,CurrentCompanyType,48.74525
6716,CurrentCompanyType,52.237946
21686,Gender,79.62568
23385,YearsOfExperince,79.104996
20061,CurrentCompanyType,50.01013
13274,YearsOfExperince,78.53275
6434,EmpScore,88.117226
11018,YearsOfExperince,83.451805
7633,CurrentCompanyType,53.26796
3647,Ethinicity,92.46296
8764,YearsOfExperince,76.192795
5462,EmpScore,80.82571
5482,YearsOfExperince,73.19269
10636,EmpScore,92.28527
13206,MartialStatus,81.3159
5099,YearsOfExperince,54.94868
10010,DegreeBranch,78.57338
6082,EmpScore,80.83192
13048,MartialStatus,84.37219
19864,Gender,74.25149
11227,CurrentCompanyType,53.176044
4186,DegreeBranch,82.49666
4195,DegreeBranch,77.07809
15060,Gender,79.82817
11001,Gender,83.15003
2340,DegreeBranch,80.66113
22965,DegreeBranch,83.19955
5148,YearsOfExperince,78.05214
13601,DegreeBranch,88.89464
9076,DegreeBranch,79.126396
20026,YearsOfExperince,75.83271
16062,DegreeBranch,80.44124
16983,DegreeBranch,75.78392
4603,CurrentCompanyType,60.999657
23344,Gender,78.11271
8109,LatestDegreeCGPA,56.256954
14277,Gender,81.38328
12639,EmpScore,82.636055
24128,Gender,81.70942
15262,YearsOfExperince,82.92057
11037,DegreeBranch,79.62952
8586,CurrentCompanyType,54.398624
18481,DegreeBranch,96.50754
11232,LatestDegreeCGPA,50.168156
12038,YearsOfExperince,94.35034
5802,LatestDegreeCGPA,58.20492
8631,LatestDegreeCGPA,55.126186
13476,YearsOfExperince,80.73001
13947,LatestDegreeCGPA,55.143917
16601,DegreeBranch,82.63856
6751,CurrentCompanyType,57.839985
16303,Ethinicity,80.07646
12486,CurrentCompanyType,78.86333
19548,Gender,79.563286
6731,Gender,76.768135
5410,YearsOfExperince,92.13034
7365,YearsOfExperince,75.199295
14636,Gender,78.856674
15825,CurrentCompanyType,53.636745
18432,EmpScore,87.77449
8161,DegreeBranch,80.248505
9168,Ethinicity,81.64418
5368,DegreeBranch,83.873665
16755,Ethinicity,81.57395
14554,DegreeBranch,80.68637
2859,Gender,81.18976
11652,Gender,77.95758
2715,Gender,83.06632
17972,CurrentCompanyType,66.56634
14439,YearsOfExperince,80.71223
7135,CurrentCompanyType,50.084755
9082,DegreeBranch,91.256744
6327,YearsOfExperince,83.07429
20135,YearsOfExperince,87.27402
9598,Gender,80.23557
9479,DegreeBranch,84.546555
8531,DegreeBranch,48.80655
17576,LatestDegreeCGPA,55.688286
7868,Gender,79.60851
4704,Gender,87.96785
2227,Gender,94.83308
12599,EmpScore,79.16072
20120,YearsOfExperince,86.563545
22992,DegreeBranch,58.293
11003,CurrentCompanyType,50.786427
12372,Gender,80.14645
8545,DegreeBranch,76.557594
2197,CurrentCompanyType,50.72287
20102,EmpScore,76.40256
19447,YearsOfExperince,80.20007
12226,DegreeBranch,80.84046
22898,Gender,73.913956
21509,DegreeBranch,73.16665
19625,Gender,81.006096
9993,Gender,76.24739
12900,DegreeBranch,84.1523
11775,Ethinicity,82.4333
21533,YearsOfExperince,87.16035
6712,Gender,77.2451
2667,EmpScore,93.2611
11924,DegreeBranch,83.42694
12068,Gender,80.337585
6016,Gender,79.142845
21718,DegreeBranch,55.388157
6832,CurrentCompanyType,37.25156
9444,EmpScore,88.956985
21789,Gender,79.6538
12651,DegreeBranch,77.20774
5438,Gender,81.40957
17094,CurrentCompanyType,57.301258
2467,CurrentCompanyType,52.832386
3295,Gender,77.301285
2298,MartialStatus,82.93476
9374,YearsOfExperince,80.10706
8325,YearsOfExperince,85.87734
20077,LatestDegreeCGPA,54.34641
9976,Gender,79.82921
20755,YearsOfExperince,82.58839
8582,Ethinicity,82.09639
17002,Gender,82.48165
14742,EmpScore,90.32077
6849,CurrentCompanyType,90.44771
23690,HighestDegree,79.050415
2723,CurrentCompanyType,57.643436
23389,Gender,77.429695
4551,Gender,76.57298
24155,DegreeBranch,82.85984
17986,CurrentCompanyType,51.96851
3173,YearsOfExperince,80.07484
4753,YearsOfExperince,93.639
6047,YearsOfExperince,79.529274
12630,DegreeBranch,81.324615
8896,Gender,77.101456
17455,HighestDegree,79.30045
10654,CurrentCompanyType,58.815125
20375,CurrentCompanyType,80.41725
16180,Ethinicity,80.35744
24323,CurrentCompanyType,59.40079
17430,DegreeBranch,82.79183
10603,Ethinicity,80.29995
23431,Gender,80.21414
23339,DegreeBranch,78.90319
19068,DegreeBranch,81.30031
8797,DegreeBranch,96.15158
11220,YearsOfExperince,75.83854
20244,Gender,79.09999
15150,CurrentCompanyType,50.172195
2145,YearsOfExperince,85.36417
2643,EmpScore,89.60025
19659,CurrentCompanyType,54.187172
22395,CurrentCompanyType,62.347153
16986,LatestDegreeCGPA,50.476585
2938,Gender,80.25429
23372,Gender,82.83237
7675,Gender,78.413925
12534,HighestDegree,80.19012
22145,Gender,80.014465
22403,DegreeBranch,81.622925
8865,HighestDegree,83.44249
16766,DegreeBranch,61.47542
14573,HighestDegree,78.06866
17938,CurrentCompanyType,90.468216
20913,DegreeBranch,80.189415
2707,DegreeBranch,84.818344
10035,Ethinicity,80.72255
2342,HighestDegree,91.01933
18984,CurrentCompanyType,51.918606
10572,EmpScore,86.588554
14851,LatestDegreeCGPA,44.929794
2644,YearsOfExperince,80.48267
23598,DegreeBranch,78.91737
5695,Gender,80.79277
8049,Gender,86.64431
2907,CurrentCompanyType,69.055916
17672,YearsOfExperince,68.06557
23746,YearsOfExperince,77.54945
18424,CurrentCompanyType,50.268032
20530,EmpScore,91.25646
14918,EmpScore,83.67493
9320,CurrentCompanyType,56.451893
3024,HighestDegree,80.863495
8489,DegreeBranch,56.557228
16070,DegreeBranch,78.01503
7289,CurrentCompanyType,53.981285
7789,EmpScore,92.75863
12493,Gender,74.54751
10076,CurrentCompanyType,54.54228
22870,CurrentCompanyType,51.811115
18113,DegreeBranch,85.97382
14232,EmpScore,82.81028
18076,HighestDegree,80.93995
19544,YearsOfExperince,82.4719
2470,DegreeBranch,87.68938
12813,CurrentCompanyType,63.699978
12270,CurrentCompanyType,92.57843
19184,EmpScore,78.89791
13584,Ethinicity,82.184715
4339,CurrentCompanyType,51.42115
17914,YearsOfExperince,84.82447
10917,Gender,80.42906
15879,MartialStatus,83.337715
6427,CurrentCompanyType,55.23099
14040,Gender,80.31305
16305,Gender,77.54415
16513,Gender,76.08291
8960,HighestDegree,82.300476
13799,CurrentCompanyType,51.6238
5379,Gender,80.43291
20457,YearsOfExperince,78.79612
18933,Ethinicity,79.51412
19281,CurrentCompanyType,51.43512
10128,CurrentCompanyType,65.307365
18061,Gender,79.196625
2174,CurrentCompanyType,56.39674
18838,DegreeBranch,79.35517
6795,Gender,79.069664
3224,DegreeBranch,51.66072
10831,DegreeBranch,87.83521
5177,Gender,88.163765
17845,CurrentCompanyType,50.002205
16084,EmpScore,81.62766
10823,HighestDegree,80.488075
22135,Gender,79.75748
14894,CurrentCompanyType,49.61283
6721,CurrentCompanyType,60.17808
23929,Gender,85.6207
4683,DegreeBranch,89.582016
21939,DegreeBranch,80.40792
4619,CurrentCompanyType,59.699608
4059,DegreeBranch,82.256935
4750,Gender,78.63623
16333,CurrentCompanyType,58.67445
7631,Gender,82.52
17571,YearsOfExperince,80.05099
13223,DegreeBranch,86.2953
6116,EmpScore,79.51598
14670,EmpScore,93.42197
23632,DegreeBranch,53.91636
14677,DegreeBranch,79.4393
19234,YearsOfExperince,77.16779
5523,Gender,77.40701
11495,CurrentCompanyType,57.49759
23168,CurrentCompanyType,58.281944
5302,DegreeBranch,89.491806
7925,HighestDegree,74.38209
11796,CurrentCompanyType,59.08933
22722,CurrentCompanyType,53.04057
11147,DegreeBranch,80.478775
3271,CurrentCompanyType,57.587154
7532,CurrentCompanyType,50.50588
22718,DegreeBranch,78.63013
7002,HighestDegree,87.70626
23799,CurrentCompanyType,55.56568
20117,DegreeBranch,80.21629
8931,DegreeBranch,85.508675
12655,DegreeBranch,87.37029
10456,Gender,78.449905
21352,EmpScore,89.51859
8532,CurrentCompanyType,57.33807
4890,YearsOfExperince,80.27858
22035,DegreeBranch,81.14398
12366,YearsOfExperince,77.360794
24342,Gender,80.64376
9218,Gender,80.988106
2918,DegreeBranch,72.27514
22751,EmpScore,82.56399
9299,DegreeBranch,81.68321
10116,YearsOfExperince,79.52032
19046,CurrentCompanyType,46.53117
5724,CurrentCompanyType,53.3469
17626,Gender,77.72985
10874,MartialStatus,80.17567
17574,Gender,80.99227
12772,YearsOfExperince,78.88144
18545,LatestDegreeCGPA,53.89844
16172,YearsOfExperince,89.31385
18997,DegreeBranch,88.54042
24142,LatestDegreeCGPA,55.70906
10818,DegreeBranch,84.41023
14909,DegreeBranch,82.484314
7996,Gender,75.616425
11575,YearsOfExperince,83.22426
7740,Ethinicity,83.830284
16074,CurrentCompanyType,53.419277
21831,LatestDegreeCGPA,55.933475
18339,DegreeBranch,88.41228
8211,CurrentCompanyType,50.808895
23062,DegreeBranch,80.91316
18654,EmpScore,91.984375
16230,YearsOfExperince,73.44161
19747,DegreeBranch,92.739174
11439,DegreeBranch,86.41055
2888,LatestDegreeCGPA,58.9005
15800,DegreeBranch,79.883675
2676,HighestDegree,92.114815
8530,Gender,79.87855
24046,DegreeBranch,85.77395
7119,EmpScore,88.837166
20691,MartialStatus,83.92794
23702,DegreeBranch,83.18225
4334,Ethinicity,78.548256
19630,Gender,76.59742
19977,LatestDegreeCGPA,58.944252
11601,DegreeBranch,81.20371
18181,Gender,82.0193
14495,LatestDegreeCGPA,49.45457
5433,MartialStatus,86.44819
2708,MartialStatus,84.73648
19110,Gender,81.44012
8077,Gender,78.1005
6574,DegreeBranch,87.64253
12076,Ethinicity,75.81854
3813,HighestDegree,80.42713
7864,Gender,75.74116
15259,HighestDegree,80.83906
19304,Ethinicity,84.06617
12613,EmpScore,90.98763
6340,CurrentCompanyType,54.311115
13726,DegreeBranch,85.26233
21799,YearsOfExperince,89.9989
18946,CurrentCompanyType,46.384933
22904,CurrentCompanyType,50.54452
12715,CurrentCompanyType,59.42682
5464,HighestDegree,75.984566
2885,EmpScore,92.595535
8175,Ethinicity,82.01716
18310,Gender,80.09546
21078,DegreeBranch,82.72644
13869,YearsOfExperince,82.491615
15964,EmpScore,77.2993
21048,DegreeBranch,92.45183
14638,EmpScore,78.51638
21982,Ethinicity,80.47149
5750,DegreeBranch,83.79965
23484,Gender,82.069595
23656,DegreeBranch,80.561165
18479,Gender,71.68138
11695,HighestDegree,83.12933
7842,Gender,85.52894
2092,YearsOfExperince,82.98444
10587,Gender,75.95195
6208,Gender,82.11239
4927,CurrentCompanyType,48.174892
17015,CurrentCompanyType,61.71657
6074,CurrentCompanyType,38.54643
18384,MartialStatus,81.73478
24181,Gender,81.79078
20806,CurrentCompanyType,54.685516
16059,CurrentCompanyType,58.121067
6400,CurrentCompanyType,49.495525
3219,Gender,82.29035
17911,CurrentCompanyType,50.887966
9737,CurrentCompanyType,55.379276
17547,Ethinicity,79.61703
22355,YearsOfExperince,82.048004
9500,Gender,82.841034
11509,LatestDegreeCGPA,48.502953
13707,YearsOfExperince,84.50102
4624,DegreeBranch,91.79695
21760,Gender,80.02448
10948,DegreeBranch,80.55008
23985,Gender,78.16312
10479,HighestDegree,90.82095
19231,DegreeBranch,91.01266
5709,DegreeBranch,81.407104
13431,Gender,77.650215
22981,Gender,79.281044
6933,EmpScore,76.250244
14159,Gender,77.75194
16588,Ethinicity,84.58216
11588,Ethinicity,80.83448
12666,DegreeBranch,92.873505
4953,DegreeBranch,79.68089
11252,EmpScore,81.12608
8297,YearsOfExperince,80.69397
10845,DegreeBranch,80.0912
8944,HighestDegree,91.76072
23139,DegreeBranch,80.8629
19518,MartialStatus,79.83685
12990,CurrentCompanyType,89.19776
14291,DegreeBranch,75.22072
14179,CurrentCompanyType,46.488907
9680,DegreeBranch,88.09858
13664,YearsOfExperince,79.55168
8516,CurrentCompanyType,74.3536
10647,CurrentCompanyType,88.16653
8171,YearsOfExperince,81.31972
17394,Gender,79.47617
17058,HighestDegree,85.4624
6873,DegreeBranch,91.24595
15125,YearsOfExperince,81.0479
6127,MartialStatus,84.409065
21042,MartialStatus,80.31213
16063,CurrentCompanyType,58.273544
4621,YearsOfExperince,83.62602
14416,DegreeBranch,84.23605
18397,YearsOfExperince,81.13577
5120,HighestDegree,82.72114
12551,CurrentCompanyType,57.317734
20025,CurrentCompanyType,50.530956
14404,DegreeBranch,90.1679
18728,DegreeBranch,78.596756
5771,Gender,81.60011
24313,Gender,81.8159
9022,Gender,79.04569
5716,DegreeBranch,78.66622
18757,CurrentCompanyType,51.443333
11829,CurrentCompanyType,49.458984
10398,Gender,80.885445
18508,EmpScore,76.600464
18302,LatestDegreeCGPA,57.352314
23412,CurrentCompanyType,52.451637
12476,DegreeBranch,80.04252
3485,CurrentCompanyType,60.203655
20115,Gender,81.38146
17304,LatestDegreeCGPA,51.6569
3347,Gender,84.008354
13474,YearsOfExperince,88.52214
19974,Gender,79.4366
18300,Gender,83.89605
23366,CurrentCompanyType,53.16924
2109,DegreeBranch,82.377754
21959,YearsOfExperince,72.67419
19383,YearsOfExperince,86.00081
24267,CurrentCompanyType,54.69507
21887,DegreeBranch,90.851875
12162,HighestDegree,83.24834
12708,LatestDegreeCGPA,57.782078
21563,Gender,78.13198
16500,DegreeBranch,44.9964
12807,MartialStatus,82.71464
2592,CurrentCompanyType,49.992218
4148,Ethinicity,74.626236
4464,DegreeBranch,53.560944
12988,Gender,83.74896
20303,DegreeBranch,85.634224
11657,DegreeBranch,81.22795
